sample	library	embryo	somite	stage	date	size	conc	librarySize	retainedFragments	mapped	unique	dupRate	goodQuality
e27_SII-2	do26237	e27	SII	18	01.06.18	364	9.04	50,280,194	0.49	45713793	28119885	0.35	24868793
e27_SIII-2	do26238	e27	SIII	18	01.06.18	348	14.8	43,095,342	0.54	39106388	26296450	0.30	23083729
e28_SI-2	do26239	e28	SI	18	01.06.18	303	17.8	28,015,581	0.56	25479427	18180641	0.26	15657252
e28_SII-2	do26240	e28	SII	18	01.06.18	334	10.1	35,113,967	0.52	31943185	20978024	0.32	18137094
e28_SIII-2	do26241	e28	SIII	18	01.06.18	390	5.97	39,153,744	0.49	35575751	21865433	0.36	19216659
e29_SI-2	do26242	e29	SI	35	11.06.18	535	10.86	86,308,470	0.48	78688161	42112412	0.41	41825316
e29_SII-2	do26243	e29	SII	35	11.06.18	372	15	37,337,982	0.56	33945412	23211427	0.29	20946981
e29_SIII-2	do26244	e29	SIII	35	11.06.18	360	19.2	28,491,304	0.57	25885991	17628708	0.28	16233753
e30_SI-2	do26245	e30	SI	35	11.06.18	386	10.3	35,506,847	0.57	32308450	22573564	0.27	20108032
e30_SII-2	do26246	e30	SII	35	11.06.18	393	12.5	45,918,477	0.54	41699097	27273171	0.31	24676203
e31_SI-2	do26247	e31	SI	35	11.06.18	262	39	40,486,472	0.57	36709938	26127958	0.26	23096416
e31_SII-2	do26248	e31	SII	35	11.06.18	269	20.2	59,363,143	0.60	53934215	39535843	0.24	35830900
e31_SIII-2	do26249	e31	SIII	35	11.06.18	334	37.1	33,880,646	0.58	30756782	21573355	0.27	19623065
e32_SI-2	do26250	e32	SI	35	14.06.18	419	6.73	36,641,370	0.57	33278083	22217580	0.30	21023453
e32_SII-2	do26251	e32	SII	35	14.06.18	436	6.36	66,155,891	0.53	60239521	36863084	0.35	35286664
e32_SIII-2	do26252	e32	SIII	35	14.06.18	500	6.92	107,251,325	0.48	97546856	52103795	0.42	51368604
e33_SI-2	do26253	e33	SI	35	14.06.18	424	10.76	33,566,554	0.53	30537273	19300878	0.33	17850388
e33_SII-2	do26254	e33	SII	35	14.06.18	355	5.82	123,644,401	0.73	112271797	98363427	0.12	90080165
e33_SIII-2	do26255	e33	SIII	35	14.06.18	519	7.78	37,302,329	0.48	34000527	18250353	0.41	17779911
e34_SI-2	do26256	e34	SI	27	14.06.18	356	15.7	27,614,285	0.61	25097089	18076382	0.25	16779282
e34_SII-2	do26257	e34	SII	27	14.06.18	274	14.3	58,378,625	0.60	52989711	38558648	0.25	35014726
e34_SIII-2	do26258	e34	SIII	27	14.06.18	324	30	28,666,363	0.60	26027868	18397554	0.26	17063699
